timestamp,time_step,leg,action,pos_x,pos_y,pos_z,yaw,pitch,roll,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784634818.346,0.0,0,INITIALIZING,0.0,0.0,0.0,-0.6,-0.03,-2.01,-0.009,0.002,-1.015,-0.007,0.002,0.001
1784634818.447,0.102,1,Leg_1_Move_Forward,0.0,-0.0,0.0,-0.6,-0.02,-2.01,-0.01,0.005,-1.013,-0.007,0.005,0.003
1784634818.554,0.208,1,Leg_1_Move_Forward,0.001,0.0,0.0,-0.6,0.06,-2.02,-0.01,0.005,-1.014,-0.005,0.004,-0.001
1784634818.664,0.318,1,Leg_1_Move_Forward,0.031,-0.0,0.0,-0.59,0.14,-2.06,0.221,0.003,-1.015,-0.039,0.039,0.013
1784634818.775,0.429,1,Leg_1_Move_Forward,0.031,-0.0,0.0,-0.59,0.14,-2.06,0.221,0.003,-1.015,-0.039,0.039,0.013
1784634818.881,0.535,1,Leg_1_Move_Forward,0.098,-0.001,0.0,-0.6,0.04,-2.09,-0.179,0.043,-0.996,0.017,0.019,-0.007
1784634818.985,0.639,1,Leg_1_Move_Forward,0.098,-0.001,0.0,-0.6,0.04,-2.09,-0.179,0.043,-0.996,0.017,0.019,-0.007
1784634819.089,0.743,1,Leg_1_Move_Forward,0.165,-0.002,0.0,-0.64,-0.03,-2.01,0.02,-0.025,-0.988,-0.004,-0.025,-0.003
1784634819.199,0.853,1,Leg_1_Move_Forward,0.192,-0.002,0.0,-0.61,0.08,-2.0,-0.124,0.006,-0.991,0.022,0.016,0.03
1784634819.309,0.963,1,Leg_1_Move_Forward,0.192,-0.002,0.0,-0.61,0.08,-2.0,-0.124,0.006,-0.991,0.022,0.016,0.03
1784634819.423,1.077,1,Leg_1_Move_Forward,0.192,-0.002,0.0,-0.61,0.08,-2.0,-0.124,0.006,-0.991,0.022,0.016,0.03
