step,time_s,phase,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,yaw,pitch,roll,latency_ms
0,0.0773,s1_north_t1_move,-0.0067,0.0051,-1.0154,-0.0072,0.0011,0.0003,-0.0,0.0001,0.0,-3.13,1.03,-1.96,76.75
1,0.2199,s1_north_t1_move,-0.0059,0.0047,-1.0133,-0.0064,-0.0003,-0.0006,0.0013,-0.0,0.0,-3.13,1.03,-1.96,37.42
2,0.3758,s1_north_t1_move,-0.156,-0.0119,-1.0043,-0.0208,0.0097,0.0162,0.014,-0.0009,0.0,-3.15,1.06,-1.92,53.05
3,0.5089,s1_north_t1_move,0.0742,0.0204,-1.01,-0.0032,0.0233,-0.0061,0.0247,-0.0014,0.0,-3.1,1.1,-1.94,28.52
4,0.6361,s1_north_t1_move,0.0138,0.0047,-1.0146,0.007,-0.002,-0.0171,0.0361,-0.0024,0.0,-3.15,1.12,-1.89,21.98
5,0.7577,s1_north_t1_move,-0.0934,0.0134,-1.0078,0.0068,0.012,-0.0033,0.0396,-0.0023,0.0,-3.11,1.18,-1.85,7.28
6,0.8755,s1_north_t1_move,-0.1614,0.0001,-1.011,0.0063,-0.0094,0.0023,0.0521,-0.0024,0.0,-3.13,1.21,-1.95,13.24
7,1.0661,s1_north_t1_move,0.05,0.0212,-1.0178,-0.0105,0.0178,0.0249,0.0598,-0.0021,0.0,-3.06,1.27,-1.87,88.39
8,1.1955,s1_north_t1_move,-0.1368,0.012,-1.0106,0.0151,0.0087,-0.0407,0.0776,-0.0021,0.0,-3.27,1.23,-1.84,23.4
9,1.39,s1_north_t1_move,0.1472,0.0053,-1.0179,0.0646,-0.0028,-0.0184,0.0847,-0.0014,0.0,-3.29,1.22,-1.62,90.22
10,1.5177,s1_north_t1_move,-0.0165,-0.0179,-1.0157,-0.0173,0.0191,-0.0032,0.1023,-0.0027,0.0,-3.12,1.24,-1.65,23.55
11,1.7132,s1_north_t1_move,0.0494,0.0087,-1.0176,0.0022,-0.013,-0.0067,0.1111,-0.0019,0.0,-3.14,1.24,-1.65,91.7
12,1.8367,s1_north_t1_move,-0.039,0.0017,-1.0167,-0.0187,0.005,-0.0498,0.1255,-0.0002,0.0,-3.16,1.35,-1.78,21.02
13,1.9559,s1_north_t1_move,-0.0284,-0.0504,-1.0169,-0.0055,-0.0006,0.0586,0.1331,-0.0001,0.0,-3.13,1.37,-1.8,9.08
14,2.0771,s1_north_t1_move,0.0103,0.03,-1.0102,0.0001,0.0057,-0.0396,0.1467,0.0022,0.0,-3.08,1.41,-1.78,7.66
15,2.1984,s1_north_t1_move,0.0175,0.001,-1.0165,-0.0087,0.0062,-0.0223,0.1535,0.0027,0.0,-3.2,1.42,-1.76,18.2
16,2.3165,s1_north_t1_move,0.0064,0.028,-1.0238,-0.0116,-0.0005,-0.0345,0.1535,0.0027,0.0,-3.2,1.42,-1.76,15.14
17,2.4354,s1_north_t1_move,0.026,-0.0118,-1.0122,-0.015,0.002,0.0032,0.1654,0.0032,0.0,-3.18,1.42,-1.82,18.27
18,2.6238,s1_north_t1_move,-0.0427,-0.0006,-1.0159,-0.0015,-0.0063,0.024,0.172,0.0041,0.0,-3.07,1.43,-1.9,84.92
19,2.734,s1_north_t1_move,0.0089,0.0235,-1.0148,-0.0115,-0.0018,-0.0151,0.1835,0.0051,0.0,-3.22,1.44,-1.94,6.89
20,2.8541,s1_north_t1_move,0.0089,0.0235,-1.0148,-0.0115,-0.0018,-0.0151,0.1835,0.0051,0.0,-3.22,1.44,-1.94,12.1
21,2.976,s1_north_t1_move,0.0591,0.01,-1.0189,0.0111,-0.0111,0.0026,0.1982,0.0062,0.0,-3.06,1.38,-1.87,18.2
22,3.0964,s1_north_t1_move,0.0591,0.01,-1.0189,0.0111,-0.0111,0.0026,0.1982,0.0062,0.0,-3.07,1.36,-1.88,17.63
23,3.2175,s1_north_t1_move,0.0033,-0.0063,-1.0163,-0.0105,0.0008,0.001,0.2019,0.0062,0.0,-3.08,1.38,-1.87,17.51
24,3.3364,s1_north_t1_move,-0.0037,0.0106,-1.0124,-0.0071,0.005,-0.013,0.2079,0.0057,0.0,-3.11,1.39,-1.9,14.83
25,3.455,s1_north_t1_move,-0.0263,0.0332,-1.0122,-0.0061,0.0037,-0.0423,0.2149,0.0057,0.0,-3.18,1.37,-1.94,11.49
26,3.5771,s1_north_t1_move,-0.0263,0.0332,-1.0122,-0.0061,0.0037,-0.0423,0.217,0.006,0.0,-3.18,1.37,-1.94,18.9
27,3.6974,s1_north_t1_move,0.0424,0.0215,-1.016,0.0121,-0.0067,0.0126,0.2217,0.0055,0.0,-3.13,1.3,-1.84,17.68
28,3.8133,s1_north_t1_move,-0.0287,-0.0031,-1.0124,-0.0059,-0.0047,0.002,0.2281,0.0048,0.0,-3.07,1.3,-1.84,11.41
29,3.935,s1_north_t1_move,-0.024,0.014,-1.0143,-0.0153,0.0032,0.0135,0.2321,0.0045,0.0,-3.08,1.29,-1.87,11.76
30,4.057,s1_north_t1_move,0.0132,0.01,-1.0152,-0.0088,0.0064,-0.0193,0.2347,0.0043,0.0,-3.07,1.3,-1.9,18.68
31,4.1767,s1_north_t1_move,-0.009,0.0099,-1.0144,-0.0203,-0.0076,0.0066,0.2374,0.004,0.0,-3.19,1.3,-1.92,17.33
32,4.2965,s1_north_t1_move,-0.0008,0.0049,-1.0146,-0.0026,0.0022,0.0056,0.2402,0.0038,0.0,-3.18,1.3,-1.94,15.64
33,4.4144,s1_north_t1_move,0.0105,0.009,-1.0153,0.0051,-0.0027,-0.0121,0.2419,0.0036,0.0,-3.23,1.3,-1.94,11.5
34,4.7305,s1_north_t1_move,0.0173,-0.0021,-1.0134,0.004,-0.0051,0.0166,0.2447,0.0031,0.0,-3.19,1.25,-1.86,212.91
35,4.9351,s1_north_t1_move,-0.0014,0.0047,-1.0124,-0.009,0.0171,-0.0271,0.2543,0.001,0.0,-3.07,1.23,-1.88,101.07
36,5.0568,s1_north_t1_move,0.0033,-0.013,-1.01,-0.008,0.0065,0.0241,0.2632,-0.0001,0.0,-3.22,1.29,-1.9,12.13
37,5.3928,s1_north_t1_move,-0.0152,-0.0021,-1.0147,-0.0043,0.0046,0.0025,0.2663,-0.0005,0.0,-3.15,1.28,-1.92,224.44
38,5.5131,s1_north_t1_move,0.0334,-0.0055,-1.0102,-0.0034,-0.0008,0.0235,0.2748,-0.0022,0.0,-3.17,1.24,-1.88,17.86
39,5.6368,s1_north_t1_move,-0.0299,0.0612,-1.0122,-0.0046,0.0022,-0.0125,0.2766,-0.002,0.0,-3.04,1.24,-1.93,19.82
40,5.7566,s1_north_t1_move,0.0163,-0.0077,-1.013,-0.0091,-0.0007,-0.02,0.2766,-0.002,0.0,-3.04,1.24,-1.93,18.4
41,5.872,s1_north_t1_move,0.0127,0.0215,-1.0128,-0.0122,0.0052,0.0069,0.2792,-0.0032,0.0,-3.15,1.25,-1.95,11.84
42,5.9953,s1_north_t1_move,-0.0095,0.0352,-1.0151,-0.0067,0.0042,-0.0143,0.2834,-0.0045,0.0,-3.13,1.25,-1.95,13.96
43,6.1163,s1_north_t1_move,0.0139,-0.0282,-1.0144,-0.0058,0.0086,0.0089,0.2834,-0.0045,0.0,-3.16,1.26,-1.95,19.59
44,6.2369,s1_north_t1_move,0.0481,-0.0205,-1.0164,0.0214,-0.0081,-0.0114,0.2903,-0.0079,0.0,-3.07,1.21,-1.91,19.13
45,6.3529,s1_north_t1_move,0.006,0.0376,-1.0112,-0.0155,0.01,0.0303,0.2903,-0.0079,0.0,-3.07,1.21,-1.91,13.66
46,6.4728,s1_north_t1_move,-0.0453,-0.0301,-1.0156,-0.0034,-0.0049,0.0015,0.2932,-0.0088,0.0,-3.12,1.21,-1.9,11.46
47,6.5961,s1_north_t1_move,-0.0252,-0.0066,-1.0116,-0.0045,0.0063,0.0432,0.2977,-0.0112,0.0,-3.03,1.21,-1.9,13.67
48,6.716,s1_north_t1_move,0.0169,-0.0179,-1.0168,-0.0101,-0.0062,-0.0095,0.3006,-0.0124,0.0,-3.13,1.2,-1.9,18.45
49,6.8373,s1_north_t1_move,-0.0016,0.0571,-1.0123,-0.0063,0.0023,-0.0232,0.3023,-0.0129,0.0,-3.15,1.21,-1.91,18.39
50,6.9527,s1_north_t1_move,-0.0183,-0.0222,-1.0162,-0.0029,-0.0089,0.0395,0.307,-0.0143,0.0,-3.12,1.17,-1.83,12.06
51,7.077,s1_north_t1_move,-0.0069,0.037,-1.0146,-0.0356,0.0058,0.0332,0.3095,-0.017,0.0,-3.1,1.18,-1.91,15.01
52,7.1962,s1_north_t1_move,-0.0069,0.037,-1.0146,-0.0356,0.0058,0.0332,0.3095,-0.017,0.0,-3.1,1.18,-1.91,18.67
53,7.4019,s1_north_t1_move,-0.013,-0.0015,-1.0167,-0.0106,0.0061,-0.0292,0.3114,-0.0171,0.0,-3.13,1.2,-1.94,103.23
54,7.5165,s1_north_t1_move,-0.0165,0.026,-1.0111,0.0018,0.0022,0.0096,0.3178,-0.0186,0.0,-3.3,1.19,-1.92,11.43
55,7.6372,s1_north_t1_move,0.0268,0.029,-1.013,0.0049,-0.0187,0.0096,0.3207,-0.0205,0.0,-3.16,1.15,-1.83,16.74
56,7.756,s1_north_t1_move,-0.0368,-0.0157,-1.0136,-0.0,-0.0049,0.016,0.3229,-0.0207,0.0,-3.08,1.12,-1.81,12.45
57,7.8762,s1_north_t1_move,0.0339,-0.0106,-1.016,-0.0054,-0.0043,0.0075,0.3246,-0.0211,0.0,-3.12,1.14,-1.79,18.91
58,7.997,s1_north_t1_move,-0.028,0.036,-1.0138,-0.0093,-0.0049,-0.045,0.3285,-0.0232,0.0,-3.1,1.14,-1.82,18.13
59,8.1171,s1_north_t1_move,-0.0086,-0.007,-1.013,-0.013,0.0011,0.0107,0.3309,-0.0234,0.0,-3.06,1.17,-1.86,7.73
60,8.4065,s1_north_t1_move,-0.0147,0.017,-1.0115,-0.0021,-0.0031,-0.0176,0.3332,-0.0237,0.0,-3.1,1.16,-1.86,188.13
61,9.0292,s1_north_t1_move,-0.0539,-0.002,-1.0089,0.0021,0.0072,0.0298,0.3382,-0.0248,0.0,-3.2,1.13,-1.8,516.13
62,9.1574,s1_north_t1_move,-0.0154,0.0205,-1.0126,-0.0054,0.0033,0.0043,0.3534,-0.027,0.0,-3.01,1.13,-1.87,18.78
63,9.2721,s1_north_t1_move,0.0145,0.006,-1.0141,-0.0039,0.003,-0.0321,0.3582,-0.028,0.0,-3.2,1.11,-1.85,12.14
64,9.3935,s1_north_t1_move,0.0169,0.0272,-1.0112,-0.0019,0.0113,-0.0012,0.3602,-0.0278,0.0,-3.17,1.12,-1.82,11.78
65,9.5197,s1_north_t1_move,0.0169,0.0272,-1.0112,-0.0019,0.0113,-0.0012,0.3638,-0.0278,0.0,-3.17,1.12,-1.82,16.51
